uj,t,value
1,1,560.4050000000001
2,1,2266.7
3,1,6926.45
4,1,0.0
5,1,219.26
6,1,1216.0
7,1,11731.24464286
8,1,0.0
9,1,323.28499999999997
10,1,124.02928572
1,2,9069.06992849
2,2,9706.299997999999
3,2,10512.5
4,2,0.0
5,2,0.0
6,2,16375.826602559377
7,2,15723.9083326
8,2,2143.766290603688
9,2,1793.2917571363264
10,2,25366.0363755106
1,3,30875.1
2,3,22842.743710056297
3,3,10512.5
4,3,0.0
5,3,52429.600000000006
6,3,38433.670762594345
7,3,2842.756289943669
8,3,0.0
9,3,106266.70000000001
10,3,35331.37923740567
1,4,3260.7
2,4,3070.6000000000004
3,4,557.0337499999841
4,4,0.0
5,4,5508.2
6,4,3151.5587499999997
7,4,0.0
8,4,0.0
9,4,11218.1
10,4,4749.395000000011
